farm_id,month,temperature,precipitation,soil_moisture,drought_index,risk_probability,terra_score,yield_t_ha
FARM-001,2021-09,29.7,109.0,40.0,0.706,0.2784,722,4.16
FARM-001,2021-10,25.0,31.9,32.7,0.646,0.2829,717,4.41
FARM-001,2021-11,21.5,24.2,32.6,0.665,0.2661,734,4.34
FARM-001,2021-12,23.6,25.9,34.0,0.784,0.2753,725,4.59
FARM-001,2022-01,18.8,34.4,28.9,0.676,0.2712,729,4.06
FARM-001,2022-02,17.2,7.5,28.7,0.668,0.2398,760,4.5
FARM-001,2022-03,22.4,26.3,31.5,0.634,0.283,717,4.4
FARM-001,2022-04,27.7,12.4,25.5,0.614,0.3138,686,4.29
FARM-001,2022-05,28.3,32.0,31.5,0.605,0.1939,806,4.23
FARM-001,2022-06,28.8,45.0,34.8,0.53,0.1743,826,4.89
FARM-001,2022-07,33.1,175.0,39.6,0.562,0.1883,812,4.75
FARM-001,2022-08,28.1,189.5,44.5,0.538,0.1189,881,4.58
FARM-001,2022-09,26.2,113.2,35.1,0.555,0.1638,836,4.71
FARM-001,2022-10,23.0,40.2,28.2,0.566,0.1418,858,4.64
FARM-001,2022-11,22.9,30.4,26.7,0.481,0.1247,875,4.76
FARM-001,2022-12,20.8,32.4,27.6,0.35,0.0658,934,4.62
FARM-001,2023-01,21.3,24.9,26.3,0.495,0.115,885,4.82
FARM-001,2023-02,16.3,23.5,29.4,0.454,0.0956,904,5.02
FARM-001,2023-03,18.8,16.7,23.9,0.498,0.0774,923,4.49
FARM-001,2023-04,25.2,11.5,28.6,0.496,0.0628,937,4.97
FARM-001,2023-05,29.1,49.7,36.6,0.448,0.0939,906,4.92
FARM-001,2023-06,28.7,27.3,32.0,0.395,0.0301,970,4.77
FARM-001,2023-07,33.2,223.2,44.5,0.347,0.033,967,5.22
FARM-001,2023-08,31.1,36.5,31.8,0.394,0.02,980,4.78
FARM-001,2023-09,26.7,0.0,21.4,0.366,0.0666,933,4.58
FARM-001,2023-10,27.9,80.9,34.5,0.392,0.02,980,5.04
FARM-001,2023-11,19.0,10.5,24.4,0.374,0.0655,935,4.85
FARM-001,2023-12,19.8,10.4,26.1,0.385,0.0694,931,4.42
FARM-001,2024-01,19.7,14.1,31.0,0.331,0.042,958,4.83
FARM-001,2024-02,20.3,31.2,26.0,0.4,0.1429,857,4.71
FARM-001,2024-03,23.1,14.1,29.0,0.379,0.1338,866,4.68
FARM-001,2024-04,26.2,29.3,28.2,0.347,0.1243,876,5.08
FARM-001,2024-05,29.0,0.0,27.5,0.386,0.1207,879,4.93
FARM-001,2024-06,28.3,122.9,38.1,0.448,0.1692,831,4.2
FARM-001,2024-07,28.8,174.7,42.0,0.364,0.1454,855,4.49
FARM-001,2024-08,30.5,72.0,33.5,0.461,0.1715,828,4.23
FARM-001,2024-09,30.1,122.7,35.4,0.451,0.1838,816,4.98
FARM-001,2024-10,24.7,38.7,24.4,0.526,0.2289,771,4.71
FARM-001,2024-11,21.7,19.8,26.6,0.445,0.221,779,4.41
FARM-001,2024-12,17.2,18.1,29.7,0.421,0.2154,785,4.11
FARM-001,2025-01,20.8,28.5,31.4,0.494,0.2244,776,4.38
FARM-001,2025-02,20.4,19.9,30.1,0.45,0.2623,738,4.41
FARM-001,2025-03,20.3,14.1,28.7,0.557,0.2412,759,4.4
FARM-001,2025-04,26.2,30.6,29.5,0.481,0.2617,738,3.96
FARM-001,2025-05,25.6,31.4,31.4,0.535,0.292,708,4.0
FARM-001,2025-06,29.4,9.2,24.1,0.651,0.2813,719,4.52
FARM-001,2025-07,31.4,116.9,35.1,0.686,0.2483,752,3.7
FARM-001,2025-08,28.4,151.3,40.1,0.595,0.2266,773,4.34
FARM-001,2025-09,27.2,111.4,35.8,0.598,0.2915,709,4.53
FARM-001,2025-10,24.8,17.2,26.3,0.597,0.155,845,4.55
FARM-001,2025-11,23.9,25.2,32.5,0.675,0.2681,732,4.5
FARM-001,2025-12,21.8,26.4,25.7,0.643,0.2199,780,4.32
FARM-001,2026-01,21.4,18.9,31.6,0.719,0.23,770,4.39
FARM-001,2026-02,20.3,25.7,30.7,0.766,0.2491,751,4.19
FARM-001,2026-03,23.1,14.8,30.8,0.717,0.2203,780,4.21
FARM-001,2026-04,26.9,47.8,30.0,0.687,0.19,810,4.44
FARM-001,2026-05,28.7,24.4,24.8,0.652,0.2235,776,4.53
FARM-001,2026-06,29.5,110.3,31.5,0.672,0.1656,834,4.78
FARM-001,2026-07,30.1,111.7,38.0,0.6,0.1318,868,4.65
FARM-001,2026-08,33.7,153.3,38.8,0.641,0.1058,894,4.29
FARM-002,2021-09,30.8,62.1,31.2,0.337,0.2964,704,1.61
FARM-002,2021-10,26.9,12.8,28.8,0.414,0.3986,601,1.48
FARM-002,2021-11,25.1,12.9,25.9,0.34,0.3887,611,1.48
FARM-002,2021-12,22.1,10.4,31.6,0.424,0.4532,547,1.57
FARM-002,2022-01,21.6,5.9,29.9,0.38,0.4212,579,1.48
FARM-002,2022-02,25.2,14.2,28.6,0.356,0.4555,545,1.42
FARM-002,2022-03,25.7,10.6,30.4,0.419,0.4171,583,1.52
FARM-002,2022-04,28.7,19.1,29.6,0.408,0.4768,523,1.49
FARM-002,2022-05,30.4,23.8,30.6,0.473,0.4846,515,1.36
FARM-002,2022-06,34.4,51.7,33.8,0.466,0.5245,476,1.4
FARM-002,2022-07,35.3,108.3,33.6,0.503,0.4911,509,1.4
FARM-002,2022-08,32.2,97.7,31.0,0.47,0.5127,487,1.48
FARM-002,2022-09,28.4,49.4,29.5,0.444,0.446,554,1.47
FARM-002,2022-10,30.5,30.7,32.4,0.48,0.5386,461,1.38
FARM-002,2022-11,24.9,14.3,28.8,0.491,0.473,527,1.5
FARM-002,2022-12,25.0,11.5,27.2,0.538,0.4786,521,1.49
FARM-002,2023-01,21.3,13.0,32.8,0.57,0.5001,500,1.53
FARM-002,2023-02,23.6,2.5,20.8,0.544,0.482,518,1.3
FARM-002,2023-03,27.6,11.9,28.2,0.505,0.548,452,1.32
FARM-002,2023-04,30.7,7.9,29.7,0.551,0.455,545,1.34
FARM-002,2023-05,33.1,9.1,32.7,0.528,0.4882,512,1.53
FARM-002,2023-06,31.1,33.9,26.3,0.412,0.3862,614,1.43
FARM-002,2023-07,36.0,39.3,32.4,0.518,0.4096,590,1.54
FARM-002,2023-08,33.4,105.9,35.5,0.487,0.4103,590,1.62
FARM-002,2023-09,34.6,15.9,33.5,0.398,0.3819,618,1.44
FARM-002,2023-10,26.6,19.5,24.6,0.371,0.4218,578,1.36
FARM-002,2023-11,27.5,22.5,34.2,0.419,0.4226,577,1.39
